"CARRERA,C,3","PLAN,C,2","ACTA,C,5","ORDEN,C,2","LIBRO,C,5","MATERIA,C,3","TURNO,C,1","CATEDRA,C,1","FECH_ACTA,D","PROCES,L","FECPRO,D","INSCR,N,2,0","AUSENT,N,2,0","EXAMIN,N,2,0","SOBRES,N,2,0","DISTIN,N,2,0","BUENO,N,2,0","SUFIC,N,2,0","INSUF,N,2,0","REPROB,N,2,0","NOCORR,N,2,0","RECLIB,C,5","RECACT,C,5","OBSERV,M"
806,86,05200,,    1,040,1,,07/07/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,05230,,    1,089,1,,07/07/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,05300,,    1,072,4,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,05330,,    1,022,1,,07/07/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
806,86,05430,,    1,028,1,,07/07/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,05470,,    1,042,1,,07/08/1993,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
401,86,05590,,    1,102,1,,07/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
421,86,05610,,    1,057,1,,07/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,05870,,    1,102,1,,07/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
820,85,05950,,    1,013,1,,07/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,06560,,    1,005,2,,07/25/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,06580,,    1,005,2,,07/25/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
820,85,05921,,    1,003,1,,07/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,06601,,    1,031,1,,07/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,06622,,    1,102,1,,07/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
